Time,I,Q
951,107,267
952,102,365
953,37,540
954,-4,574
955,-161,554
956,-212,506
957,-400,321
958,-444,240
959,-522,-7
960,-528,-85
961,-488,-283
962,-457,-330
963,-312,-432
964,-248,-454
965,-34,-475
966,30,-469
967,225,-445
968,284,-423
969,442,-334
970,471,-288
971,512,-113
972,502,-46
973,451,206
974,410,296
975,279,521
976,218,576
977,71,605
978,21,584
979,-92,352
980,-136,234
981,-162,-144
982,-155,-267
983,-78,-563
984,-42,-617
985,128,-574
986,168,-514
987,343,-262
988,393,-174
989,493,45
990,506,78
991,482,21
992,464,-21
993,360,-264
994,316,-352
995,143,-551
996,67,-570
997,-156,-549
998,-243,-513
999,-466,-313
